Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
10/14/25,7:00 PM,Tampa Bay Lightning,2,Washington Capitals,3,OT,16948,2:41,
10/15/25,7:00 PM,Ottawa Senators,4,Buffalo Sabres,8,,13993,2:33,
10/15/25,7:00 PM,Florida Panthers,1,Detroit Red Wings,4,,18655,2:31,
10/15/25,9:30 PM,Chicago Blackhawks,8,St. Louis Blues,3,,17249,2:26,
10/15/25,9:30 PM,Calgary Flames,1,Utah Mammoth,3,,12478,2:34,
10/16/25,10:00 PM,Carolina Hurricanes,4,Anaheim Ducks,1,,16145,2:28,
10/16/25,7:00 PM,Colorado Avalanche,4,Columbus Blue Jackets,1,,17249,2:27,
10/16/25,8:00 PM,Vancouver Canucks,5,Dallas Stars,3,,18532,2:26,
10/16/25,10:00 PM,Pittsburgh Penguins,4,Los Angeles Kings,2,,14737,2:20,
10/16/25,7:00 PM,Nashville Predators,2,Montreal Canadiens,3,OT,20962,2:30,
10/16/25,7:00 PM,Florida Panthers,1,New Jersey Devils,3,,16514,2:26,
10/16/25,7:30 PM,Edmonton Oilers,2,New York Islanders,4,,14837,2:31,
10/16/25,7:00 PM,Seattle Kraken,3,Ottawa Senators,4,SO,15736,2:38,
10/16/25,7:00 PM,Winnipeg Jets,5,Philadelphia Flyers,2,,16170,2:17,
10/16/25,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,OT,18267,2:28,
10/16/25,10:00 PM,Boston Bruins,5,Vegas Golden Knights,6,,17927,2:48,
10/17/25,8:30 PM,Vancouver Canucks,3,Chicago Blackhawks,2,SO,18306,2:54,
10/17/25,7:00 PM,Tampa Bay Lightning,1,Detroit Red Wings,2,OT,19515,2:36,
10/17/25,9:00 PM,San Jose Sharks,3,Utah Mammoth,6,,12478,2:23,
10/17/25,7:00 PM,Minnesota Wild,1,Washington Capitals,5,,17482,2:32,
10/18/25,1:00 PM,Florida Panthers,0,Buffalo Sabres,3,,16015,2:36,
10/18/25,7:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,3,,15822,2:42,
10/18/25,9:00 PM,Boston Bruins,1,Colorado Avalanche,4,,18131,2:37,
10/18/25,9:00 PM,Carolina Hurricanes,4,Los Angeles Kings,3,OT,18145,2:43,
10/18/25,7:00 PM,New York Rangers,4,Montreal Canadiens,3,,20962,2:33,
10/18/25,3:30 PM,Edmonton Oilers,3,New Jersey Devils,5,,16514,2:23,
10/18/25,3:00 PM,New York Islanders,5,Ottawa Senators,4,,15929,2:28,
