Position,Player,Game,Position (copy),Injury,Opponent,Score,CHIP ($k),GameAdj,Team,Season
D,Karlsson,80,D,Lower body,WSH,3-6,122,80,Pittsburgh,2025/26
F,Kindel,80,F,Upper body,WSH,3-6,18,80,Pittsburgh,2025/26
D,Kuznetsov,80,D,Upper body,UTA,4-1,10,80,Calgary,2025/26
F,Lehkonen,80,F,Undisclosed,@EDM,2-1 (SO),55,80,Colorado,2025/26
D,Letang,80,D,Upper body,WSH,3-6,74,80,Pittsburgh,2025/26
F,Malkin,80,F,Upper body,WSH,3-6,74,80,Pittsburgh,2025/26
D,Manson,80,D,Upper body,@EDM,2-1 (SO),55,80,Colorado,2025/26
G,Markström,80,G,Undisclosed,@DET,5-3,50,80,New Jersey,2025/26
F,McCann,80,F,Lower body,LAK,3-5,61,80,Seattle,2025/26
D,Miller,80,D,Undisclosed,@UTA,4-1,91,80,Carolina,2025/26
F,Namestnikov,80,F,Undisclosed,@VGK,2-6,37,80,Winnipeg,2025/26
D,Pionk,80,D,Undisclosed,@VGK,2-6,85,80,Winnipeg,2025/26
D,Raddysh,80,D,Undisclosed,@BOS,2-1,12,80,Tampa Bay,2025/26
F,Rust,80,F,Lower body,WSH,3-6,63,80,Pittsburgh,2025/26
F,Shabanov,80,F,Upper body,OTT,0-3,55,80,NY Islanders,2025/26
F,Stankoven,80,F,Undisclosed,@UTA,4-1,11,80,Carolina,2025/26
F,Turcotte,80,F,Undisclosed,@SEA,5-3,9,80,Los Angeles,2025/26
G,Vejmelka,80,G,Undisclosed,@CGY,1-4,58,80,Utah,2025/26
F,Verhaeghe,80,F,Lower body,@TOR,6-2,85,80,Florida,2025/26
D,Wotherspoon,80,D,Upper body,WSH,3-6,12,80,Pittsburgh,2025/26
D,del Mastro,80,D,Undisclosed,STL,3-5,11,80,Chicago,2025/26
F,Acciari,81,F,Upper body,@WSH,0-3,24,81,Pittsburgh,2025/26
F,Aho,81,F,Undisclosed,@PHI,2-3 (SO),119,81,Carolina,2025/26
D,Brodin,81,D,Undisclosed,@STL,3-6,73,81,Minnesota,2025/26
D,Clifton,81,D,Upper body,@WSH,0-3,41,81,Pittsburgh,2025/26
F,Coronato,81,F,Undisclosed,COL,1-3,79,81,Calgary,2025/26
D,Dobson,81,D,Upper body,@NYI,4-1,116,81,Montreal,2025/26
D,Gostisbehere,81,D,Undisclosed,@PHI,2-3 (SO),39,81,Carolina,2025/26
D,Gudas,81,D,Lower body,@MIN,2-3,49,81,Anaheim,2025/26
F,Hagel,81,F,Lower body,DET,4-3 (OT),79,81,Tampa Bay,2025/26
D,Jaccob Slavin,81,D,Upper body,@PHI,2-3 (SO),79,81,Carolina,2025/26
F,Jarvis,81,F,Undisclosed,@PHI,2-3 (SO),96,81,Carolina,2025/26
G,Johansson,81,G,Undisclosed,DET,4-3 (OT),15,81,Tampa Bay,2025/26
F,Jones,81,F,Lower body,COL,1-2 (SO),12,81,Edmonton,2025/26
F,Kreider,81,F,Illness,@MIN,2-3,79,81,Anaheim,2025/26
F,Mangiapane,81,F,Lower body,BUF,1-5,44,81,Chicago,2025/26
F,Mantha,81,F,Lower body,@WSH,0-3,55,81,Pittsburgh,2025/26
F,Nelson,81,F,Undisclosed,@CGY,3-1,91,81,Colorado,2025/26
D,Sandin,81,D,Leg,PIT,3-0,56,81,Washington,2025/26
F,Schwartz,81,F,Upper body,@VGK,1-4,67,81,Seattle,2025/26
D,Shea,81,D,Upper body,@WSH,0-3,11,81,Pittsburgh,2025/26
F,Staal,81,F,Undisclosed,@PHI,2-3 (SO),35,81,Carolina,2025/26
F,Svechnikov,81,F,Undisclosed,@PHI,2-3 (SO),95,81,Carolina,2025/26
D,Toews,81,D,Undisclosed,@CGY,3-1,88,81,Colorado,2025/26
G,Andersen,82,G,Undisclosed,@NYI,2-1,43,82,Carolina,2025/26
D,Chatfield,82,D,Undisclosed,@NYI,2-1,37,82,Carolina,2025/26
G,Cooley,82,G,Illness,LAK,3-1,9,82,Calgary,2025/26
F,Dubois,82,F,Upper body,@CBJ,2-1,104,82,Washington,2025/26
D,Durzi,82,D,Upper body,STL,3-5,73,82,Utah,2025/26
F,Dvorak,82,F,Undisclosed,MTL,4-2,66,82,Philadelphia,2025/26
D,Forsling,82,D,Undisclosed,DET,8-1,70,82,Florida,2025/26
F,Guenther,82,F,Undisclosed,STL,3-5,87,82,Utah,2025/26
F,Hall,82,F,Undisclosed,@NYI,2-1,39,82,Carolina,2025/26
D,Josi,82,D,Undisclosed,ANA,4-5,110,82,Nashville,2025/26
F,Järnkrok,82,F,Undisclosed,@OTT,1-3,26,82,Toronto,2025/26
F,Larkin,82,F,Undisclosed,@FLA,1-8,106,82,Detroit,2025/26
F,MacKinnon,82,F,Undisclosed,SEA,2-0,154,82,Colorado,2025/26
F,Marchessault,82,F,Undisclosed,ANA,4-5,67,82,Nashville,2025/26
D,Miller,82,D,Undisclosed,@NYI,2-1,91,82,Carolina,2025/26
F,Mittelstadt,82,F,Undisclosed,NJD,4-0,70,82,Boston,2025/26
F,Nosek,82,F,Leg,DET,8-1,9,82,Florida,2025/26
D,Pulock,82,D,Undisclosed,CAR,1-2,75,82,NY Islanders,2025/26
D,Walker,82,D,Undisclosed,@NYI,2-1,44,82,Carolina,2025/26
F,Zary,82,F,Undisclosed,LAK,3-1,46,82,Calgary,2025/26
